"english","icelandic","type","etymology","etymology_is","lore","lore_is"
"The Shire","Hobbitasveit","Homeland","English shire (district). Ísl. sveit means rural district or countryside — a natural calque that preserves both meaning and pastoral tone.","Ísl. sveit þýðir dreifbýlt hérað — náttúruleg þýðing sem varðveitir bæjarlegt ívit upprunans.","The rolling green homeland of the hobbits in the northwest of Middle-earth, known for its pipe-weed and peace.","Heimkynni hobbita í norðvestur Miðjarðar, þekkt fyrir frið og rólægi."
"Rivendell","Rifdalur","Refuge","Old English riven (split, cleft) + dell (valley). Rifdalur is a direct calque: rift (cleft) + dalur (valley). Also rendered Klofningur in some editions.","Fornensku riven (klofinn) + dell (dalur). Rifdalur er bein þýðing: rift + dalur. Einnig þýtt sem Klofningur.","The hidden valley refuge of Elrond, where the Fellowship was formed. Known in Sindarin as Imladris.","Leynidalsathvarf Elronds þar sem Félagið var stofnað. Á sindarin kallað Imladris."
"Mordor","Mordor","Dark land","Sindarin: mor (dark) + dor (land). Kept unchanged in Icelandic as the name is already transparent and carries strong cultural weight.","Sindarin: mor (myrkur) + dor (land). Haldið óbreytt á íslensku — nafnið er þegar gagnsætt og ber sterka menningarlega þunga.","The dark volcanic realm of Sauron in the southeast of Middle-earth, dominated by Mount Doom and Barad-dûr.","Myrkur eldfjallalendi Saurons í suðaustur Miðjarðar, undir yfirráðum Morðfjalls og Barad-dûr."
"Mount Doom","Morðfjall","Volcano","Doom from Old English dōm (judgement, fate). Morðfjall: morð (murder, doom) + fjall (mountain) — a powerful Icelandic rendering that echoes the dread of the original.","Doom frá fornensku dōm (dómur, örlög). Morðfjall: morð + fjall — öflug íslensk þýðing sem endurómlar ótta upprunans.","The volcanic mountain in Mordor where Sauron forged the One Ring. Its Sindarin name is Orodruin.","Eldfjallið í Mordor þar sem Sauron smíðaði Einhringinn. Sindarin-nafn þess er Orodruin."
"Mirkwood","Myrkviður","Forest","Old English mierce (dark, boundary) + wudu (wood). Myrkviður is the direct Old Norse cognate — myrkr (dark) + viðr (forest) — predating Tolkien in Norse myth.","Fornensku mierce + wudu. Myrkviður er bein fornorræn hliðstæða — myrkr + viðr — og kemur fyrir í norrænum goðsögum fyrir tíma Tolkiens.","The great dark forest of Rhovanion, home to Legolas's people and the spiders of Shelob's kin.","Hið mikla myrkra skógur Rhovanions, heimkynni þjóðar Legolas og köngulóna af ætt Shelob."
"Lothlórien","Lothlórien","Realm","Sindarin: loth (flower) + lórien (dreamland, from Quenya Lórien, the Vala of dreams). Kept unchanged as the musicality of the name is untranslatable.","Sindarin: loth (blóm) + lórien (draumland). Haldið óbreytt þar sem tónlist nafnsins er óþýðanleg.","The golden forest realm of Galadriel and Celeborn beside the river Anduin. Time flows differently within its borders.","Gullna skógarríki Galadriel og Celeborn við ána Anduin. Tíminn líður öðruvísi innan landamæra þess."
"Gondor","Gondor","Kingdom","Sindarin: gond (stone) + dor (land). 'Land of stone.' Kept unchanged in Icelandic. Could be Steinarland but the original is universally recognised.","Sindarin: gond (steinn) + dor (land). Haldið óbreytt á íslensku. Gæti verið Steinarland en upprunalegt er víðþekkt.","The great southern kingdom of Men, ruled from Minas Tirith. One of the last bastions of civilisation against Mordor.","Hið mikla suðræna konungsríki manna, stjórnað frá Minas Tirith. Eitt síðasta vígi siðmenningar gegn Mordor."
"Rohan","Róhan","Kingdom","Sindarin: roch (horse) + an (suffix). 'Land of horses.' Róhan adapts the name to Icelandic phonology with an accent on the long ó.","Sindarin: roch (hestur) + an (viðskeyti). Róhan aðlagar nafnið að íslenskri hljóðfræði með hreim á löngu ó.","The horse-lord kingdom of the Rohirrim on the plains north of Gondor. Known for its cavalry and the Golden Hall of Meduseld.","Hestahöfðingjaríki Róhirra á sléttum norðan Gondors. Þekkt fyrir riddara og Gullna höllina Meduseld."
"Isengard","Járngarður","Fortress","Old English isen (iron) + geard (yard, enclosure). Járngarður is a perfect calque: járn (iron) + garður (yard, enclosure) — one of the most satisfying translations.","Fornensku isen (járn) + geard (garður). Járngarður er fullkomin þýðing: járn + garður — ein ánægjulegasta þýðingin.","The ancient fortress of the wizard Saruman at the southern end of the Misty Mountains, later destroyed by the Ents.","Forn vígi töframannsins Sarumans við suðurenda Þokunnafjalla, síðar eyðilagt af Entum."
"Bag End","Pytillinn","Dwelling","A cul-de-sac in English. Pytillinn comes from pytill (a small bag or pouch) — capturing the cosy, self-contained feel of the original while feeling authentically Icelandic.","Blindgata á ensku. Pytillinn kemur frá pytill (lítill poki) — fangar þægilegan, sjálfstæðan blæ upprunans á íslensku.","The comfortable hobbit-hole of Bilbo and later Frodo Baggins, set into the Hill at Hobbiton in the Shire.","Þægileg hobbitagryfja Bilbos og síðar Fróða Baggins, grafin inn í Hólinn í Hobbitabæ í Hobbitasveit."
