"english","icelandic","race","etymology","lore"
"Frodo","Fróði","Hobbit","From Old English frod (wise by experience). Fróði is also a legendary Danish king famed for peace.","Bearer of the One Ring. His Icelandic name carries mythic weight — King Fróði ruled during a Golden Age, making the name bittersweet."
"Samwise","Sámur","Hobbit","Old English samwis (half-wise). Icelandic Samvís mirrors this: sam- (half) + vís (wise). Tolkien chose it to suggest humility.","Frodo's loyal gardener. Despite the self-deprecating name, Tolkien called Sam the chief hero of the tale."
"Merry","Glöðr","Hobbit","Short for Meriadoc. Icelandic Glöðr captures the nickname's spirit from glaðr (glad, merry) — tone over etymology.","Meriadoc Brandybuck of Buckland, esquire of Rohan. Glöðr suits his bright, quick-witted character."
"Pippin","Peppi Gunn","Hobbit","Short for Peregrin, Latin peregrinus (wanderer). Peppi is a phonetic Icelandicisation preserving the playful sound.","Peregrin Took, youngest of the Fellowship. He became a Knight of Gondor and later Thain of the Shire."
"Gandalf","Gandálfr","Wizard","Old Norse gandr (magical staff) + álfr (elf). The name appears in the Völuspá — Tolkien took it directly from the Eddas.","The name predates Tolkien by centuries, making Gandálfr the most authentic form. His true Quenya name is Olórin."
"Aragorn","Aragorn","Man","Sindarin: ara- (kingly) + gorn (revered). Retained unchanged; some editions use Arahorn to ease Icelandic pronunciation.","Heir of Isildur, rightful King of Gondor. His Sindarin name directly declares his destiny."
"Legolas","Legolas","Elf","Sindarin: laeg (keen, fresh) + golas (foliage). Retained as a proper name; some gloss it Lauflindur (leaf-slender).","Prince of the Woodland Realm of Mirkwood. Renowned for his elvish sight and skill with a bow."
"Gimli","Gimli","Dwarf","Old Norse Gimlé — the heavenly hall surviving Ragnarök in the Völuspá. Tolkien borrowed it from the Eddas; kept unchanged.","Son of Glóin, sole dwarf in the Fellowship. He famously befriended the elf Legolas."
"Boromir","Borómír","Man","Sindarin: bor (enduring) + mir (jewel). A fitting name for a man of great honour. Retained unchanged in Icelandic.","Son of Denethor. His fall to the Ring's temptation and sacrifice at Amon Hen is one of the tale's most tragic moments."
"Saruman","Saruman","Wizard","Old English searu-mann (man of craft). Could be Listmaður in Icelandic, but the Old English form is kept. Quenya: Curunír.","Head of the Order of Wizards, fallen to his desire for the Ring. His name betrays his nature as a craftsman corrupted by cleverness."
"Sauron","Sáron","Other","Quenya saura (vile, putrid). Sáron adapts the long vowel to Icelandic orthography. His name before his fall was Mairon (the Admirable).","The Dark Lord of Mordor. He forged the One Ring to control all other Ring-bearers."
"Gollum","Gollrir","Other","Anglicisation of the horrible swallowing sound he makes. His original name Sméagol (Sméagull) is from OE smēagan (to creep into).","Once a hobbit-like creature corrupted by the One Ring over five centuries. His dual nature is one of Tolkien's greatest creations."
"Éowyn","Éowyn","Man","Old English: éoh (warhorse) + wyn (joy). Kept in Icelandic as OE and ON are closely related, making it natural for an Icelandic reader.","Shield-maiden of Rohan who slew the Witch-king. Her name's equine meaning fits Rohan's horse-culture perfectly."
"Théoden","Þjóðann","Man","Old English þēoden (king, lord of a people). Icelandic Þjóðann uses the native þ (thorn), from þjóð (people) — directly cognate.","King of Rohan. His name simply means king — fitting for a noble ruler who died heroically at Pelennor Fields."
"Arwen","Arwen","Elf","Sindarin: ar- (noble) + wen (maiden). Kept unchanged. Undómiel means Evenstar (Kveldsstjarna in Icelandic).","Daughter of Elrond, called the Evenstar. She chose mortality for love of Aragorn, mirroring the tale of Lúthien and Beren."
"Elrond","Elrond","Elf","Sindarin: el (star) + rond (vaulted hall). Retained unchanged. Rivendell in Icelandic is Klofningur or Rifdalur.","Half-elven lord who chose immortality. He bore Vilya, mightiest of the three Elvish Rings."
"Galadriel","Galadriel","Elf","Sindarin: galad (radiance) + riel (garlanded maiden). Quenya: Altáriel; Telerin: Alatáriel. Kept unchanged.","Lady of Lothlórien, bearer of Nenya the Ring of Water. She refused the One Ring when offered it by Frodo."
"Bilbo","Bilbó","Hobbit","Tolkien coined this to sound hobbit-like. Icelandic Bilbó adds an accent to signal the long vowel per Icelandic phonology.","Bilbo Baggins of Bag End, protagonist of The Hobbit. His adventure set in motion the events of the War of the Ring."
"Strider","Gandrekkur","Man","Aragorn's Ranger name. Gandrekkur: ganga (to stride) + rekkr (warrior). A fine calque preserving both meaning and heroic register.","Name given to Aragorn by the Bree-folk. Gandrekkur feels natural in Icelandic — the kind of name a taciturn Ranger might earn."
"Shelob","Shelob","Other","She + Old English lob (spider). Icelandic Kóngulóin is the Icelandic word for spider given a definite feminine form.","The last child of Ungoliant, a giant spider in the pass of Cirith Ungol. Defeated by Sam wielding the Phial of Galadriel."

